id,area,page,route,device,theme,layout_spacing,typography,controls_forms,nav_footer,functional_smoke,status,severity,notes,retest_status,retest_notes
1,Auth,Login,/login,Desktop,Light,,,,,,,,,,,
2,Auth,Login,/login,Desktop,Dark,,,,,,,,,,,
3,Auth,Login,/login,Mobile,Light,,,,,,,,,,,
4,Auth,Login,/login,Mobile,Dark,,,,,,,,,,,
5,Auth,Register,/register,Desktop,Light,,,,,,,,,,,
6,Auth,Register,/register,Desktop,Dark,,,,,,,,,,,
7,Auth,Register,/register,Mobile,Light,,,,,,,,,,,
8,Auth,Register,/register,Mobile,Dark,,,,,,,,,,,
9,Auth,Forgot Password,/forgot-password,Desktop,Light,,,,,,,,,,,
10,Auth,Forgot Password,/forgot-password,Desktop,Dark,,,,,,,,,,,
11,Auth,Forgot Password,/forgot-password,Mobile,Light,,,,,,,,,,,
12,Auth,Forgot Password,/forgot-password,Mobile,Dark,,,,,,,,,,,
13,Auth,Reset Password,/reset-password/<token>,Desktop,Light,,,,,,,,,,,
14,Auth,Reset Password,/reset-password/<token>,Desktop,Dark,,,,,,,,,,,
15,Auth,Login 2FA,/login-2fa,Desktop,Light,,,,,,,,,,,
16,Auth,Login 2FA,/login-2fa,Desktop,Dark,,,,,,,,,,,
17,Core,Home,/,Desktop,Light,,,,,,,,,,,
18,Core,Home,/,Desktop,Dark,,,,,,,,,,,
19,Core,Home,/,Mobile,Light,,,,,,,,,,,
20,Core,Home,/,Mobile,Dark,,,,,,,,,,,
21,Core,About,/about,Desktop,Light,,,,,,,,,,,
22,Core,About,/about,Desktop,Dark,,,,,,,,,,,
23,Core,Achievements,/achievements,Desktop,Light,,,,,,,,,,,
24,Core,Achievements,/achievements,Desktop,Dark,,,,,,,,,,,
25,Core,Achievements,/achievements,Mobile,Light,,,,,,,,,,,
26,Core,Achievements,/achievements,Mobile,Dark,,,,,,,,,,,
27,Core,Goals,/goals,Desktop,Light,,,,,,,,,,,
28,Core,Goals,/goals,Desktop,Dark,,,,,,,,,,,
29,Core,Goals,/goals,Mobile,Light,,,,,,,,,,,
30,Core,Goals,/goals,Mobile,Dark,,,,,,,,,,,
31,Core,Contact,/contact,Desktop,Light,,,,,,,,,,,
32,Core,Contact,/contact,Desktop,Dark,,,,,,,,,,,
33,Core,Contact,/contact,Mobile,Light,,,,,,,,,,,
34,Core,Contact,/contact,Mobile,Dark,,,,,,,,,,,
35,User,Dashboard,/dashboard,Desktop,Light,,,,,,,,,,,
36,User,Dashboard,/dashboard,Desktop,Dark,,,,,,,,,,,
37,User,User Panel,/user-panel,Desktop,Light,,,,,,,,,,,
38,User,User Panel,/user-panel,Desktop,Dark,,,,,,,,,,,
39,User,Profile,/profile,Desktop,Light,,,,,,,,,,,
40,User,Profile,/profile,Desktop,Dark,,,,,,,,,,,
41,User,Settings,/settings,Desktop,Light,,,,,,,,,,,
42,User,Settings,/settings,Desktop,Dark,,,,,,,,,,,
43,User,Security Settings,/security-settings,Desktop,Light,,,,,,,,,,,
44,User,Security Settings,/security-settings,Desktop,Dark,,,,,,,,,,,
45,Admin,Owner Panel,/owner-panel,Desktop,Light,,,,,,,,,,,
46,Admin,Owner Panel,/owner-panel,Desktop,Dark,,,,,,,,,,,
47,Admin,User Management,/user-management,Desktop,Light,,,,,,,,,,,
48,Admin,User Management,/user-management,Desktop,Dark,,,,,,,,,,,
49,Admin,Contact Messages,/contact-messages,Desktop,Light,,,,,,,,,,,
50,Admin,Contact Messages,/contact-messages,Desktop,Dark,,,,,,,,,,,
51,Policy,Privacy Policy,/privacy-policy,Desktop,Light,,,,,,,,,,,
52,Policy,Privacy Policy,/privacy-policy,Desktop,Dark,,,,,,,,,,,
53,Policy,Terms,/terms,Desktop,Light,,,,,,,,,,,
54,Policy,Terms,/terms,Desktop,Dark,,,,,,,,,,,
55,Policy,Privacy Vault,/privacy-vault,Desktop,Light,,,,,,,,,,,
56,Policy,Privacy Vault,/privacy-vault,Desktop,Dark,,,,,,,,,,,
